@relation 'winequality-white-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R8-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R8-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R4,8-precision6'

@attribute 'fixed acidity' numeric
@attribute 'volatile acidity' numeric
@attribute 'citric acid' numeric
@attribute 'residual sugar' {'\'(-inf-7.12]\'','\'(7.12-13.64]\'','\'(13.64-20.16]\'','\'(20.16-26.68]\'','\'(26.68-33.2]\'','\'(33.2-39.72]\'','\'(39.72-46.24]\'','\'(46.24-52.76]\'','\'(52.76-59.28]\'','\'(59.28-inf)\''}
@attribute chlorides numeric
@attribute 'free sulfur dioxide' numeric
@attribute 'total sulfur dioxide' numeric
@attribute density {'\'(-inf-0.992297]\'','\'(0.992297-0.997484]\'','\'(0.997484-1.002671]\'','\'(1.002671-1.007858]\'','\'(1.007858-1.013045]\'','\'(1.013045-1.018232]\'','\'(1.018232-1.023419]\'','\'(1.023419-1.028606]\'','\'(1.028606-1.033793]\'','\'(1.033793-inf)\''}
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute quality numeric

@data
6.3,0.27,0.49,'\'(-inf-7.12]\'',0.063,35,92,'\'(-inf-0.992297]\'',3.38,0.42,12.2,6
7.4,0.16,0.49,'\'(-inf-7.12]\'',0.055,18,150,'\'(-inf-0.992297]\'',3.23,0.47,11.2,6
7.4,0.16,0.49,'\'(-inf-7.12]\'',0.055,18,150,'\'(-inf-0.992297]\'',3.23,0.47,11.2,6
6.9,0.19,0.49,'\'(-inf-7.12]\'',0.036,49,172,'\'(0.992297-0.997484]\'',3.2,0.27,11.5,6
7.8,0.43,0.49,'\'(7.12-13.64]\'',0.033,37,158,'\'(0.992297-0.997484]\'',3.14,0.35,11.3,6
7.2,0.4,0.49,'\'(-inf-7.12]\'',0.048,11,138,'\'(0.992297-0.997484]\'',3.01,0.42,9.3,5
7.8,0.43,0.49,'\'(7.12-13.64]\'',0.033,37,158,'\'(0.992297-0.997484]\'',3.14,0.35,11.3,6
7.6,0.52,0.49,'\'(13.64-20.16]\'',0.034,37,156,'\'(0.992297-0.997484]\'',3.14,0.38,11.8,7
8.3,0.21,0.49,'\'(13.64-20.16]\'',0.054,50,231,'\'(0.997484-1.002671]\'',2.99,0.54,9.2,5
6.9,0.34,0.74,'\'(7.12-13.64]\'',0.069,44,150,'\'(0.992297-0.997484]\'',3,0.81,9.2,5
6.3,0.27,0.49,'\'(-inf-7.12]\'',0.063,35,92,'\'(-inf-0.992297]\'',3.38,0.42,12.2,6
8.3,0.2,0.74,'\'(-inf-7.12]\'',0.044,33,130,'\'(0.992297-0.997484]\'',3.25,0.42,12.2,6
7.1,0.22,0.74,'\'(-inf-7.12]\'',0.044,42,144,'\'(-inf-0.992297]\'',3.31,0.41,12.2,6
7.9,0.11,0.49,'\'(-inf-7.12]\'',0.048,27,133,'\'(0.992297-0.997484]\'',3.24,0.42,10.6,6
8.5,0.17,0.74,'\'(-inf-7.12]\'',0.05,29,128,'\'(0.992297-0.997484]\'',3.28,0.4,12.4,6
6.4,0.145,0.49,'\'(-inf-7.12]\'',0.048,54,164,'\'(0.992297-0.997484]\'',3.56,0.44,10.8,6
7.4,0.16,0.49,'\'(-inf-7.12]\'',0.055,18,150,'\'(-inf-0.992297]\'',3.23,0.47,11.2,6
8.3,0.19,0.49,'\'(-inf-7.12]\'',0.051,11,137,'\'(-inf-0.992297]\'',3.06,0.46,11,6
8,0.44,0.49,'\'(7.12-13.64]\'',0.031,46,151,'\'(0.992297-0.997484]\'',3.16,0.27,12.7,8
7,0.2,0.74,'\'(-inf-7.12]\'',0.044,19,163,'\'(0.992297-0.997484]\'',3.46,0.53,10.2,5
6.9,0.19,0.49,'\'(-inf-7.12]\'',0.036,49,172,'\'(0.992297-0.997484]\'',3.2,0.27,11.5,6
7.1,0.25,0.49,'\'(-inf-7.12]\'',0.03,30,96,'\'(-inf-0.992297]\'',3.13,0.39,12.3,7
6.5,0.24,0.24,'\'(-inf-7.12]\'',0.046,15,60,'\'(0.992297-0.997484]\'',3.19,0.39,9.8,5
7.2,0.4,0.49,'\'(-inf-7.12]\'',0.048,11,138,'\'(0.992297-0.997484]\'',3.01,0.42,9.3,5
7.6,0.52,0.49,'\'(13.64-20.16]\'',0.034,37,156,'\'(0.992297-0.997484]\'',3.14,0.38,11.8,7
7.8,0.43,0.49,'\'(7.12-13.64]\'',0.033,37,158,'\'(0.992297-0.997484]\'',3.14,0.35,11.3,6
7.8,0.21,0.49,'\'(-inf-7.12]\'',0.052,6,48,'\'(-inf-0.992297]\'',3.15,0.28,11.4,5
7,0.2,0.49,'\'(-inf-7.12]\'',0.038,39,128,'\'(0.992297-0.997484]\'',3.21,0.48,10.8,6
6.9,0.25,0.24,'\'(-inf-7.12]\'',0.057,13,85,'\'(0.992297-0.997484]\'',2.99,0.48,9.5,4
7.2,0.08,0.49,'\'(-inf-7.12]\'',0.05,18,148,'\'(0.992297-0.997484]\'',3.46,0.44,10.2,6
7.1,0.85,0.49,'\'(7.12-13.64]\'',0.028,40,184,'\'(0.992297-0.997484]\'',3.22,0.36,10.7,5
7.6,0.51,0.24,'\'(-inf-7.12]\'',0.04,10,104,'\'(-inf-0.992297]\'',3.05,0.29,10.8,6
7.9,0.22,0.24,'\'(-inf-7.12]\'',0.044,39,159,'\'(0.992297-0.997484]\'',2.99,0.28,11.5,6
7.7,0.16,0.49,'\'(-inf-7.12]\'',0.056,20,124,'\'(0.992297-0.997484]\'',3.32,0.49,10.7,6
7.2,0.08,0.49,'\'(-inf-7.12]\'',0.05,18,148,'\'(0.992297-0.997484]\'',3.46,0.44,10.2,6
6.6,0.25,0.24,'\'(-inf-7.12]\'',0.048,26,124,'\'(0.992297-0.997484]\'',3.37,0.6,10.1,6
6.7,0.16,0.49,'\'(-inf-7.12]\'',0.046,57,187,'\'(0.992297-0.997484]\'',3.62,0.81,10.4,6
6.9,0.25,0.24,'\'(-inf-7.12]\'',0.057,13,85,'\'(0.992297-0.997484]\'',2.99,0.48,9.5,4
7.5,0.32,0.24,'\'(-inf-7.12]\'',0.053,8,134,'\'(0.992297-0.997484]\'',3.14,0.5,9.1,3
7.4,0.28,0.49,'\'(-inf-7.12]\'',0.034,20,126,'\'(-inf-0.992297]\'',2.98,0.39,10.6,6
6.2,0.15,0.49,'\'(-inf-7.12]\'',0.033,17,51,'\'(0.992297-0.997484]\'',3.3,0.7,9.4,6
6.7,0.25,0.74,'\'(13.64-20.16]\'',0.054,44,169,'\'(0.997484-1.002671]\'',3.51,0.45,9.8,6
6.5,0.26,0.74,'\'(7.12-13.64]\'',0.044,68,224,'\'(0.992297-0.997484]\'',3.18,0.54,9.5,6
7.9,0.16,0.74,'\'(13.64-20.16]\'',0.037,52,187,'\'(0.997484-1.002671]\'',2.99,0.41,9.3,5
5.6,0.185,0.49,'\'(-inf-7.12]\'',0.03,28,117,'\'(-inf-0.992297]\'',3.55,0.45,10.3,6
7.5,0.2,0.49,'\'(-inf-7.12]\'',0.031,8,97,'\'(-inf-0.992297]\'',3.06,0.62,11.1,5
8,0.3,0.49,'\'(7.12-13.64]\'',0.046,47,188,'\'(0.992297-0.997484]\'',3.14,0.48,10,5
8,0.34,0.49,'\'(7.12-13.64]\'',0.033,39,180,'\'(0.992297-0.997484]\'',3.13,0.38,12.3,8
7.7,0.35,0.49,'\'(7.12-13.64]\'',0.033,42,186,'\'(0.992297-0.997484]\'',3.14,0.38,12.4,8
7.6,0.29,0.49,'\'(7.12-13.64]\'',0.03,45,197,'\'(0.992297-0.997484]\'',3.13,0.38,12.3,7
6.7,0.62,0.24,'\'(-inf-7.12]\'',0.039,6,62,'\'(0.992297-0.997484]\'',3.41,0.32,10.4,5
6.8,0.27,0.49,'\'(-inf-7.12]\'',0.044,35,126,'\'(-inf-0.992297]\'',3.13,0.48,12.1,7
7.7,0.27,0.49,'\'(-inf-7.12]\'',0.041,23,86,'\'(-inf-0.992297]\'',3.16,0.42,12.5,6
6.7,0.51,0.24,'\'(-inf-7.12]\'',0.043,14,155,'\'(-inf-0.992297]\'',3.22,0.6,13,6
7.4,0.19,0.49,'\'(7.12-13.64]\'',0.03,26,132,'\'(0.992297-0.997484]\'',2.99,0.32,11,7
8.3,0.2,0.49,'\'(-inf-7.12]\'',0.04,34,169,'\'(0.992297-0.997484]\'',3.05,0.37,10.1,5
6.6,0.3,0.24,'\'(-inf-7.12]\'',0.034,17,121,'\'(0.992297-0.997484]\'',3.13,0.36,9.2,5
6.8,0.36,0.24,'\'(-inf-7.12]\'',0.039,24,124,'\'(-inf-0.992297]\'',3.27,0.34,12.6,7
7,0.17,0.74,'\'(7.12-13.64]\'',0.045,24,126,'\'(0.992297-0.997484]\'',3.26,0.38,12.2,8
9.2,0.18,0.49,'\'(-inf-7.12]\'',0.041,39,130,'\'(0.992297-0.997484]\'',3.04,0.49,9.8,7
8.1,0.2,0.49,'\'(7.12-13.64]\'',0.051,51,205,'\'(0.992297-0.997484]\'',3.1,0.52,11,6
7.8,0.26,0.74,'\'(7.12-13.64]\'',0.044,59,160,'\'(0.992297-0.997484]\'',3.22,0.64,10,6
6.8,0.21,0.49,'\'(13.64-20.16]\'',0.06,50,170,'\'(0.997484-1.002671]\'',3.55,0.44,9.8,6
7.9,0.2,0.49,'\'(-inf-7.12]\'',0.053,15,144,'\'(0.992297-0.997484]\'',3.16,0.47,10.5,5
8,0.18,0.49,'\'(-inf-7.12]\'',0.061,10,145,'\'(0.992297-0.997484]\'',3.23,0.48,10,5
8.8,0.23,0.74,'\'(-inf-7.12]\'',0.042,15,126,'\'(0.992297-0.997484]\'',3.02,0.51,11.2,6
7.3,0.22,0.49,'\'(7.12-13.64]\'',0.034,29,134,'\'(0.992297-0.997484]\'',2.99,0.32,11,7
7.3,0.22,0.49,'\'(7.12-13.64]\'',0.031,48,161,'\'(0.992297-0.997484]\'',3.01,0.28,11.2,6
7.4,0.19,0.49,'\'(7.12-13.64]\'',0.03,26,132,'\'(0.992297-0.997484]\'',2.99,0.32,11,7
7.3,0.155,0.49,'\'(-inf-7.12]\'',0.039,34,136,'\'(0.992297-0.997484]\'',3.14,0.77,10.5,6
8.2,0.22,0.49,'\'(7.12-13.64]\'',0.037,53,154,'\'(0.992297-0.997484]\'',3.02,0.33,10.6,6
8.2,0.24,0.49,'\'(7.12-13.64]\'',0.038,52,163,'\'(0.992297-0.997484]\'',3.02,0.33,10.6,6
8.4,0.23,0.49,'\'(7.12-13.64]\'',0.035,22,95,'\'(0.992297-0.997484]\'',3.04,0.34,12,6
8.3,0.2,0.49,'\'(-inf-7.12]\'',0.04,34,169,'\'(0.992297-0.997484]\'',3.05,0.37,10.1,5
8.3,0.2,0.49,'\'(-inf-7.12]\'',0.038,38,167,'\'(0.992297-0.997484]\'',3.05,0.37,10.1,6
6.6,0.3,0.24,'\'(-inf-7.12]\'',0.034,17,121,'\'(0.992297-0.997484]\'',3.13,0.36,9.2,5
6.9,0.21,0.49,'\'(-inf-7.12]\'',0.041,15,164,'\'(0.992297-0.997484]\'',3.25,0.63,11,5
8,0.25,0.49,'\'(7.12-13.64]\'',0.044,31,185,'\'(0.997484-1.002671]\'',3.34,0.49,10,6
6.6,0.21,0.49,'\'(13.64-20.16]\'',0.042,41,158,'\'(0.997484-1.002671]\'',3.28,0.39,8.7,6
7.2,0.27,0.74,'\'(7.12-13.64]\'',0.037,47,156,'\'(0.997484-1.002671]\'',3.04,0.44,8.7,5
14.2,0.27,0.49,'\'(-inf-7.12]\'',0.037,33,156,'\'(-inf-0.992297]\'',3.15,0.54,11.1,6
7.9,0.28,0.49,'\'(7.12-13.64]\'',0.045,48,195,'\'(0.992297-0.997484]\'',3.04,0.55,11,6
7.4,0.27,0.49,'\'(-inf-7.12]\'',0.037,33,156,'\'(-inf-0.992297]\'',3.15,0.54,11.1,6
6.6,0.21,0.49,'\'(13.64-20.16]\'',0.042,41,158,'\'(0.997484-1.002671]\'',3.28,0.39,8.7,6
7.2,0.27,0.74,'\'(7.12-13.64]\'',0.037,47,156,'\'(0.997484-1.002671]\'',3.04,0.44,8.7,5
8.1,0.3,0.49,'\'(7.12-13.64]\'',0.037,26,174,'\'(0.992297-0.997484]\'',3.1,0.3,11.2,7
7.5,0.23,0.49,'\'(7.12-13.64]\'',0.049,61,209,'\'(0.992297-0.997484]\'',3.14,0.3,11.1,7
7.3,0.26,0.49,'\'(-inf-7.12]\'',0.028,32,107,'\'(0.992297-0.997484]\'',3.24,0.54,10.8,6
7.1,0.18,0.74,'\'(13.64-20.16]\'',0.044,44,176,'\'(0.997484-1.002671]\'',3.38,0.67,9,6
8.5,0.15,0.49,'\'(-inf-7.12]\'',0.031,17,122,'\'(0.992297-0.997484]\'',3.03,0.4,10.3,6
8.9,0.13,0.49,'\'(-inf-7.12]\'',0.028,6,24,'\'(0.992297-0.997484]\'',2.91,0.32,9.9,5
8.1,0.28,0.49,'\'(-inf-7.12]\'',0.04,32,148,'\'(0.992297-0.997484]\'',3.13,0.41,10,6
6,0.17,0.49,'\'(-inf-7.12]\'',0.034,26,106,'\'(-inf-0.992297]\'',3.21,0.42,9.8,6
7.3,0.26,0.49,'\'(-inf-7.12]\'',0.028,32,107,'\'(0.992297-0.997484]\'',3.24,0.54,10.8,6
7.1,0.18,0.74,'\'(13.64-20.16]\'',0.044,44,176,'\'(0.997484-1.002671]\'',3.38,0.67,9,6
7.1,0.53,0.24,'\'(-inf-7.12]\'',0.029,29,86,'\'(0.992297-0.997484]\'',3.16,0.32,9.1,4
7.2,0.16,0.49,'\'(-inf-7.12]\'',0.037,27,104,'\'(0.992297-0.997484]\'',3.23,0.57,10.6,6
7.3,0.14,0.49,'\'(-inf-7.12]\'',0.038,28,99,'\'(0.992297-0.997484]\'',3.2,0.72,10.6,6
8.9,0.13,0.49,'\'(-inf-7.12]\'',0.028,6,24,'\'(0.992297-0.997484]\'',2.91,0.32,9.9,5
7.9,0.12,0.49,'\'(-inf-7.12]\'',0.049,33,152,'\'(0.992297-0.997484]\'',3.18,0.47,10.6,6
6.7,0.29,0.49,'\'(-inf-7.12]\'',0.034,35,156,'\'(0.992297-0.997484]\'',3.13,0.45,9.9,6
6.7,0.3,0.49,'\'(-inf-7.12]\'',0.034,36,158,'\'(0.992297-0.997484]\'',3.12,0.45,9.9,6
7.1,0.36,0.24,'\'(-inf-7.12]\'',0.025,32,102,'\'(-inf-0.992297]\'',3.34,0.59,12.8,6
8.5,0.15,0.49,'\'(-inf-7.12]\'',0.031,17,122,'\'(0.992297-0.997484]\'',3.03,0.4,10.3,6
7.9,0.18,0.49,'\'(-inf-7.12]\'',0.051,36,157,'\'(0.992297-0.997484]\'',3.18,0.48,10.6,6
6.6,0.19,0.99,'\'(-inf-7.12]\'',0.122,45,129,'\'(0.992297-0.997484]\'',3.09,0.31,8.7,6
7.3,0.21,0.49,'\'(-inf-7.12]\'',0.038,44,152,'\'(-inf-0.992297]\'',3.32,0.44,12.6,7
6.9,0.3,0.49,'\'(7.12-13.64]\'',0.057,25,156,'\'(0.992297-0.997484]\'',3.43,0.63,11,7
7.9,0.42,0.49,'\'(7.12-13.64]\'',0.056,32,164,'\'(0.992297-0.997484]\'',3.29,0.6,11.2,7
6.9,0.24,0.49,'\'(-inf-7.12]\'',0.032,35,148,'\'(0.992297-0.997484]\'',3.45,0.57,10.7,7
7.6,0.23,0.49,'\'(7.12-13.64]\'',0.036,45,182,'\'(0.992297-0.997484]\'',3.08,0.58,9.6,6
7.9,0.18,0.49,'\'(-inf-7.12]\'',0.051,36,157,'\'(0.992297-0.997484]\'',3.18,0.48,10.6,6
6.2,0.43,0.49,'\'(-inf-7.12]\'',0.045,12,115,'\'(0.992297-0.997484]\'',3.27,0.57,9,4
8.8,0.35,0.49,'\'(-inf-7.12]\'',0.036,14,56,'\'(-inf-0.992297]\'',2.96,0.33,10.5,4
7.8,0.3,0.74,'\'(-inf-7.12]\'',0.033,33,156,'\'(-inf-0.992297]\'',3.29,0.52,12.8,6
9.1,0.28,0.49,'\'(-inf-7.12]\'',0.059,10,112,'\'(0.992297-0.997484]\'',3.15,0.46,10.1,5
7.1,0.34,0.49,'\'(-inf-7.12]\'',0.027,26,126,'\'(-inf-0.992297]\'',3.3,0.33,12.2,7
7.8,0.3,0.74,'\'(-inf-7.12]\'',0.033,33,156,'\'(-inf-0.992297]\'',3.29,0.52,12.8,6
9.1,0.28,0.49,'\'(-inf-7.12]\'',0.059,10,112,'\'(0.992297-0.997484]\'',3.15,0.46,10.1,5
8.5,0.19,0.49,'\'(-inf-7.12]\'',0.044,29,117,'\'(0.992297-0.997484]\'',3.14,0.51,10.1,6
7.6,0.18,0.49,'\'(13.64-20.16]\'',0.046,36,158,'\'(0.997484-1.002671]\'',3.06,0.41,9.2,5
7.5,0.19,0.49,'\'(-inf-7.12]\'',0.055,19,110,'\'(0.992297-0.997484]\'',3.33,0.44,9.9,5
7.4,0.3,0.49,'\'(7.12-13.64]\'',0.055,49,188,'\'(0.992297-0.997484]\'',3.52,0.58,9.7,6
6.7,0.3,0.74,'\'(-inf-7.12]\'',0.038,35,157,'\'(0.992297-0.997484]\'',3.21,0.46,9.9,5
6.6,0.3,0.74,'\'(-inf-7.12]\'',0.041,36,159,'\'(0.992297-0.997484]\'',3.21,0.45,9.9,5
7.4,0.3,0.49,'\'(7.12-13.64]\'',0.055,49,188,'\'(0.992297-0.997484]\'',3.52,0.58,9.7,6
6.9,0.22,0.49,'\'(-inf-7.12]\'',0.063,50,168,'\'(0.992297-0.997484]\'',3.54,0.5,10.3,6
7.8,0.26,0.49,'\'(-inf-7.12]\'',0.045,21,116,'\'(0.992297-0.997484]\'',3.16,0.35,10.3,5
8.5,0.17,0.49,'\'(7.12-13.64]\'',0.048,23,108,'\'(0.992297-0.997484]\'',2.88,0.34,10.5,4
6.8,0.17,0.74,'\'(-inf-7.12]\'',0.053,61,182,'\'(0.992297-0.997484]\'',3.63,0.76,10.5,6
6.2,0.27,0.49,'\'(-inf-7.12]\'',0.05,20,74,'\'(0.992297-0.997484]\'',3.32,0.44,9.8,6
7.1,0.64,0.49,'\'(-inf-7.12]\'',0.05,17,128,'\'(0.992297-0.997484]\'',3.31,0.58,10.6,4
6.4,0.18,0.74,'\'(7.12-13.64]\'',0.046,54,168,'\'(0.997484-1.002671]\'',3.58,0.68,10.1,5
7.6,0.31,0.49,'\'(7.12-13.64]\'',0.062,50,191,'\'(0.997484-1.002671]\'',3.22,0.53,9,4
9.8,0.31,0.49,'\'(13.64-20.16]\'',0.046,13,119,'\'(0.997484-1.002671]\'',3.18,0.45,9.5,5
9,0.3,0.49,'\'(7.12-13.64]\'',0.039,32,84,'\'(0.992297-0.997484]\'',2.94,0.32,11.5,6
8.4,0.24,0.49,'\'(7.12-13.64]\'',0.039,46,108,'\'(0.992297-0.997484]\'',3.03,0.33,11.9,7
6.4,0.18,0.74,'\'(7.12-13.64]\'',0.046,54,168,'\'(0.997484-1.002671]\'',3.58,0.68,10.1,5
6.4,0.25,0.74,'\'(7.12-13.64]\'',0.045,52,209,'\'(0.992297-0.997484]\'',3.21,0.42,9.2,6
7.3,0.3,0.74,'\'(7.12-13.64]\'',0.039,46,165,'\'(0.997484-1.002671]\'',3.02,0.4,8.7,5
9.3,0.31,0.49,'\'(-inf-7.12]\'',0.042,34,147,'\'(0.992297-0.997484]\'',3.11,0.46,9.8,5
6.4,0.25,0.74,'\'(7.12-13.64]\'',0.045,52,209,'\'(0.992297-0.997484]\'',3.21,0.42,9.2,6
7.3,0.3,0.74,'\'(7.12-13.64]\'',0.039,46,165,'\'(0.997484-1.002671]\'',3.02,0.4,8.7,5
7,0.27,0.74,'\'(-inf-7.12]\'',0.036,27,122,'\'(0.992297-0.997484]\'',3.35,0.48,11.2,6
7.9,0.14,0.74,'\'(-inf-7.12]\'',0.028,30,165,'\'(-inf-0.992297]\'',3.08,0.82,12.3,6
6.4,0.12,0.49,'\'(-inf-7.12]\'',0.042,49,161,'\'(0.992297-0.997484]\'',3.34,0.44,10.4,6
6.8,0.21,0.74,'\'(-inf-7.12]\'',0.047,25,111,'\'(-inf-0.992297]\'',3.13,0.41,10.7,6
8.6,0.16,0.49,'\'(7.12-13.64]\'',0.043,9,63,'\'(0.992297-0.997484]\'',3.13,0.59,10.5,6
7,0.29,0.49,'\'(-inf-7.12]\'',0.047,37,136,'\'(0.992297-0.997484]\'',2.95,0.4,9.4,6
6.4,0.27,0.49,'\'(7.12-13.64]\'',0.046,53,206,'\'(0.992297-0.997484]\'',3.24,0.43,9.2,6
6.6,0.55,0.01,'\'(-inf-7.12]\'',0.034,56,122,'\'(-inf-0.992297]\'',3.15,0.3,11.9,5
6.4,0.27,0.49,'\'(7.12-13.64]\'',0.046,53,206,'\'(0.992297-0.997484]\'',3.24,0.43,9.2,6
6.3,0.24,0.74,'\'(-inf-7.12]\'',0.172,24,108,'\'(0.992297-0.997484]\'',3.27,0.39,9.9,6
6.7,0.33,0.49,'\'(-inf-7.12]\'',0.167,20,94,'\'(-inf-0.992297]\'',3.11,0.5,11.4,6
7,0.29,0.49,'\'(-inf-7.12]\'',0.047,37,136,'\'(0.992297-0.997484]\'',2.95,0.4,9.4,6
8.2,0.34,0.49,'\'(7.12-13.64]\'',0.046,55,223,'\'(0.992297-0.997484]\'',3.08,0.52,10.7,6
5.6,0.39,0.24,'\'(-inf-7.12]\'',0.034,27,77,'\'(-inf-0.992297]\'',3.28,0.36,12.7,5
5.6,0.41,0.24,'\'(-inf-7.12]\'',0.034,10,53,'\'(-inf-0.992297]\'',3.32,0.5,13.5,7
6.7,0.41,0.01,'\'(-inf-7.12]\'',0.048,39,137,'\'(0.992297-0.997484]\'',3.24,0.35,9.5,5
7.1,0.26,0.49,'\'(-inf-7.12]\'',0.032,31,113,'\'(-inf-0.992297]\'',3.37,0.42,12.9,9
7.5,0.32,0.49,'\'(-inf-7.12]\'',0.031,44,109,'\'(-inf-0.992297]\'',3.07,0.46,12.5,6
5.8,0.19,0.49,'\'(-inf-7.12]\'',0.04,44,118,'\'(0.992297-0.997484]\'',3.34,0.38,9.5,7
6.9,0.27,0.49,'\'(20.16-26.68]\'',0.057,59,235,'\'(0.997484-1.002671]\'',2.98,0.47,8.6,5
8.1,0.2,0.49,'\'(7.12-13.64]\'',0.048,46,212,'\'(0.992297-0.997484]\'',3.09,0.46,10,7
7.5,0.32,0.49,'\'(-inf-7.12]\'',0.031,44,109,'\'(-inf-0.992297]\'',3.07,0.46,12.5,6
8.2,0.26,0.49,'\'(-inf-7.12]\'',0.04,19,100,'\'(0.992297-0.997484]\'',3.12,0.34,10.1,6
7.8,0.26,0.49,'\'(-inf-7.12]\'',0.027,28,87,'\'(-inf-0.992297]\'',3.03,0.32,11.3,7
8,0.14,0.49,'\'(-inf-7.12]\'',0.035,42,120,'\'(0.992297-0.997484]\'',3.26,0.4,10.6,7
8,0.29,0.49,'\'(7.12-13.64]\'',0.035,40,131,'\'(0.992297-0.997484]\'',3.14,0.34,10.8,5
7.5,0.19,0.49,'\'(-inf-7.12]\'',0.047,42,140,'\'(0.992297-0.997484]\'',3.4,0.47,10.7,6
6.9,0.34,0.49,'\'(7.12-13.64]\'',0.045,61,206,'\'(0.992297-0.997484]\'',3.09,0.4,9,6
6.2,0.2,0.49,'\'(-inf-7.12]\'',0.065,17,143,'\'(0.992297-0.997484]\'',3.22,0.52,9.2,6
6.4,0.37,0.49,'\'(7.12-13.64]\'',0.045,53,243,'\'(0.997484-1.002671]\'',3.14,0.48,8.5,6
6.2,0.22,0.49,'\'(-inf-7.12]\'',0.029,31,128,'\'(0.992297-0.997484]\'',3.41,0.36,11.3,8
7.8,0.26,0.49,'\'(-inf-7.12]\'',0.027,28,87,'\'(-inf-0.992297]\'',3.03,0.32,11.3,7
8.9,0.32,0.49,'\'(-inf-7.12]\'',0.05,17,131,'\'(0.992297-0.997484]\'',3.13,0.34,9.4,5
6.5,0.44,0.49,'\'(7.12-13.64]\'',0.045,16,169,'\'(0.992297-0.997484]\'',3.11,0.37,8.7,6
7,0.14,0.49,'\'(-inf-7.12]\'',0.053,22,118,'\'(0.992297-0.997484]\'',3.36,0.36,9.4,6
9,0.17,0.49,'\'(-inf-7.12]\'',0.039,46,131,'\'(0.992297-0.997484]\'',3.09,0.51,10.5,7
6.4,0.26,0.49,'\'(-inf-7.12]\'',0.037,37,161,'\'(0.992297-0.997484]\'',3.38,0.53,9.7,6
9,0.22,0.49,'\'(7.12-13.64]\'',0.048,52,195,'\'(0.997484-1.002671]\'',3.31,0.44,10.2,6
8.9,0.32,0.49,'\'(-inf-7.12]\'',0.05,17,131,'\'(0.992297-0.997484]\'',3.13,0.34,9.4,5
8.2,0.2,0.49,'\'(-inf-7.12]\'',0.057,14,108,'\'(0.992297-0.997484]\'',3.19,0.35,11.5,6
7.8,0.15,0.24,'\'(7.12-13.64]\'',0.047,21,98,'\'(0.992297-0.997484]\'',2.94,0.31,9.6,6
6.9,0.25,0.24,'\'(-inf-7.12]\'',0.053,6,121,'\'(0.992297-0.997484]\'',3.23,0.7,11.4,5
8.2,0.2,0.49,'\'(-inf-7.12]\'',0.057,14,108,'\'(0.992297-0.997484]\'',3.19,0.35,11.5,6
7.1,0.28,0.49,'\'(-inf-7.12]\'',0.041,28,111,'\'(0.992297-0.997484]\'',3.41,0.58,12.2,8
7.4,0.19,0.49,'\'(-inf-7.12]\'',0.037,15,110,'\'(0.992297-0.997484]\'',3.2,0.38,11,7
8.3,0.25,0.49,'\'(13.64-20.16]\'',0.048,50,228,'\'(0.997484-1.002671]\'',3.03,0.52,9.2,6
7.5,0.14,0.74,'\'(-inf-7.12]\'',0.035,21,126,'\'(0.992297-0.997484]\'',3.26,0.45,10.2,6
7.8,0.49,0.49,'\'(-inf-7.12]\'',0.043,29,149,'\'(0.992297-0.997484]\'',3.21,0.33,10,5
8.1,0.12,0.49,'\'(-inf-7.12]\'',0.042,43,160,'\'(0.992297-0.997484]\'',3.13,0.48,9.7,6
7.6,0.47,0.49,'\'(7.12-13.64]\'',0.239,42,220,'\'(0.997484-1.002671]\'',2.96,0.51,9.2,5
7.9,0.22,0.49,'\'(-inf-7.12]\'',0.042,26,105,'\'(0.992297-0.997484]\'',3.1,0.39,10.5,5
7.8,0.49,0.49,'\'(-inf-7.12]\'',0.043,29,149,'\'(0.992297-0.997484]\'',3.21,0.33,10,5
6.4,0.22,0.49,'\'(7.12-13.64]\'',0.054,42,151,'\'(0.992297-0.997484]\'',3.27,0.52,10.1,6
7.3,0.19,0.49,'\'(13.64-20.16]\'',0.058,50,134,'\'(0.997484-1.002671]\'',3.42,0.36,9.1,7
8.1,0.3,0.49,'\'(7.12-13.64]\'',0.049,50,144,'\'(0.992297-0.997484]\'',3.09,0.57,10.2,7
7.3,0.19,0.49,'\'(13.64-20.16]\'',0.058,50,134,'\'(0.997484-1.002671]\'',3.42,0.36,9.1,7
7.5,0.24,0.49,'\'(7.12-13.64]\'',0.048,50,149,'\'(0.992297-0.997484]\'',3.17,0.59,10.5,7
6.4,0.22,0.49,'\'(7.12-13.64]\'',0.054,42,151,'\'(0.992297-0.997484]\'',3.27,0.52,10.1,6
7.8,0.21,0.49,'\'(-inf-7.12]\'',0.036,20,99,'\'(-inf-0.992297]\'',3.05,0.28,12.1,7
7.1,0.3,0.49,'\'(-inf-7.12]\'',0.045,31,100,'\'(0.992297-0.997484]\'',3.4,0.59,10.2,5
6.9,0.26,0.49,'\'(-inf-7.12]\'',0.058,39,166,'\'(0.992297-0.997484]\'',3.65,0.52,9.4,4
7.6,0.31,0.49,'\'(-inf-7.12]\'',0.044,27,131,'\'(-inf-0.992297]\'',3.08,0.67,12.8,7
